feature,global_mean,global_std,local_std,stability_ratio,stability_gain
feature_antiphlogistic_vesiculate_springing,1598.8745644599303,549.1054838608018,412.7849367754126,0.7517406926499637,136.3205470853892
feature_antipodal_awry_photometry,741.7926829268292,506.314428738861,438.3513584460792,0.8657690430389952,67.96307029278182
feature_antipodean_scathing_cringle,1198.7648083623694,694.2183260361352,445.59574060419595,0.6418668650660224,248.62258543193923
feature_antipyretic_rebelling_mount,861.719512195122,869.0584701302743,342.7952372936826,0.394444389043578,526.2632328365917
feature_antistatic_subsurface_thoracotomy,1283.925087108014,565.1826771953031,469.125597256794,0.8300424202397911,96.0570799385091
feature_antistrophic_striate_conscriptionist,536.4494773519164,564.9454158792133,359.9239019187707,0.6370950038750705,205.02151396044263
feature_anxiolytic_analytical_playbill,1416.6567944250871,671.666372695775,474.21964339194983,0.7060345175367938,197.44672930382512
feature_apeak_verbal_ore,1066.1724738675957,967.6369210807052,307.2931175862893,0.3175706826513906,660.3438034944159
feature_aphotic_provisionary_dyke,1873.0696864111499,629.0402967702543,370.49678099498203,0.5889873556547354,258.5435157752722
feature_apomictical_unreducible_frustum,806.2752613240418,748.2747842338829,379.9612809168547,0.5077830884089941,368.31350331702816
feature_aponeurotic_anticholinergic_waikiki,1322.8519163763067,652.5075493373387,450.81193638869036,0.6908915258475055,201.69561294864832
feature_apothegmatic_aswarm_picnic,464.0940766550523,536.7005966096485,310.2390205996217,0.5780485852995312,226.46157601002682
feature_appendicular_multidisciplinary_cuisse,716.1916376306621,542.2946059576075,459.6357040210031,0.8475756516319359,82.65890193660437
feature_apperceptive_diphyodont_swingle,1056.6794425087107,560.8353794943162,480.3722383136135,0.8565298408006049,80.46314118070268
feature_appraising_chasmogamic_picrate,1753.6062717770035,519.5270889866694,397.16227896055653,0.7644688551952435,122.36481002611282
feature_appraisive_blowsiest_electioneering,694.8536585365854,651.0841860237864,337.6346220537573,0.5185729116164132,313.4495639700291
feature_apprentice_motivating_familiarity,1503.6062717770035,993.7095704113395,303.27099038182297,0.3051907714406795,690.4385800295165
feature_approbatory_labroid_coracle,1539.726480836237,558.9715844405929,425.1162326961656,0.7605328151369501,133.8553517444273
feature_aquatic_darkening_gotland,1357.47212543554,577.682901015485,472.64959231408443,0.8181817247545897,105.03330870140053
feature_arachnidan_centenary_salicylate,1919.054006968641,471.79089070012367,317.32591861482274,0.6725986551879383,154.46497208530093
feature_arizonian_orphan_accord,598.8484320557492,481.18834831151713,390.7948022559354,0.8121451893572,90.39354605558174
feature_armenoid_wrath_factorization,1198.9756097560976,652.0598475441469,412.5506690178794,0.632688349960006,239.50917852626753
feature_arrogated_graphological_etalon,1990.766550522648,458.7227748321266,279.8727282955581,0.6101129999442034,178.85004653656853
feature_arteriosclerotic_puristic_spine,968.0087108013937,852.5667466630468,392.1856017502699,0.4600057453393385,460.38114491277696
feature_aryballoid_croupiest_brightwork,1818.7648083623694,524.4322039696214,360.6944746860319,0.6877809409029461,163.73772928358943
feature_ascendible_nonracial_woofer,1732.2090592334496,507.7377243288293,382.57886473915875,0.753497024954929,125.15885958967056
feature_ascidian_unshaping_watchword,1482.369337979094,510.93679779833127,405.6540772413058,0.7939417927800515,105.28272055702547
feature_aseptic_eely_hemiplegia,1290.7038327526132,597.8373059772148,460.1892314024058,0.7697566324506769,137.64807457480896
feature_asphyxiating_crookbacked_hopeful,1362.7613240418118,550.4386166350071,458.6900583450918,0.8333173663381375,91.74855828991525
feature_asphyxiating_gabbroitic_long,1645.9808362369338,530.9965486805387,399.8314516932574,0.7529831459108153,131.1650969872813
